y=1181, x=576..579
x=521, y=1496..1518
x=563, y=977..987
y=1496, x=440..465
x=510, y=266..290
x=519, y=812..814
x=497, y=1595..1618
x=438, y=387..410
x=448, y=436..446
x=658, y=224..247
x=455, y=1021..1047
y=459, x=470..487
x=479, y=453..456
x=443, y=833..840
x=528, y=1614..1619
x=448, y=1240..1267
x=542, y=1230..1232
x=632, y=354..377
x=511, y=1743..1749
y=1027, x=513..527
y=963, x=471..498
x=464, y=468..477
y=939, x=647..664
x=433, y=1510..1535
x=511, y=1346..1364
x=553, y=1886..1912
x=602, y=441..443
x=551, y=26..35
y=376, x=483..501
y=1698, x=588..602
x=640, y=1400..1402
x=536, y=414..424
x=506, y=722..745
x=502, y=1809..1825
y=1691, x=648..654
x=449, y=395..409
x=643, y=1478..1480
x=600, y=1418..1429
x=502, y=37..40
y=908, x=517..538
y=1074, x=467..474
y=1662, x=552..578
x=514, y=1596..1617
y=441, x=651..663
x=445, y=1411..1425
y=894, x=552..556
y=1058, x=613..628
x=645, y=1325..1330
y=1568, x=576..585
y=370, x=587..613
x=515, y=878..881
x=442, y=203..223
x=435, y=1914..1922
y=1420, x=658..664
x=530, y=1792..1795
y=443, x=602..610
x=598, y=1784..1786
x=607, y=625..633
x=537, y=1653..1665
x=524, y=900..902
x=561, y=1084..1093
x=468, y=1175..1183
y=766, x=430..436
x=645, y=1891..1908
x=663, y=416..441
x=425, y=992..1012
x=457, y=1608..1615
y=1349, x=585..597
y=1760, x=434..437
y=1200, x=656..660
x=513, y=1013..1027
y=688, x=610..614
x=523, y=828..840
y=59, x=436..459
y=715, x=561..580
x=570, y=1127..1139
x=585, y=998..1020
x=501, y=385..398
x=590, y=1243..1246
x=536, y=1747..1758
y=835, x=607..626
y=424, x=536..552
x=622, y=980..983
x=604, y=1260..1263
x=648, y=343..352
x=645, y=435..442
x=536, y=1640..1648
y=770, x=453..465
x=552, y=894..898
x=606, y=839..851
y=1736, x=631..651
x=564, y=29..31
y=1434, x=469..490
x=521, y=242..259
y=114, x=638..640
y=765, x=588..596
x=577, y=647..660
x=606, y=1552..1555
x=653, y=1505..1509
y=1617, x=510..514
y=499, x=467..487
y=915, x=607..620
y=1908, x=637..645
x=463, y=1646..1649
x=483, y=1674..1680
y=1677, x=489..504
y=373, x=570..572
x=624, y=1654..1656
x=453, y=1897..1912
x=585, y=919..939
x=626, y=1177..1205
x=529, y=61..73
x=531, y=1125..1142
x=450, y=550..560
y=1012, x=550..570
x=583, y=906..910
x=592, y=1869..1875
y=865, x=630..644
x=490, y=1428..1434
x=582, y=1773..1789
x=655, y=1258..1268
x=608, y=1223..1224
x=558, y=1023..1035
x=486, y=601..615
x=635, y=201..219
x=659, y=1267..1295
x=576, y=1568..1571
y=1704, x=448..453
x=503, y=434..436
y=72, x=572..581
x=657, y=663..684
x=665, y=1443..1456
x=453, y=1702..1704
x=580, y=1459..1470
x=588, y=1404..1413
x=524, y=1854..1867
y=905, x=633..651
x=567, y=1044..1053
x=499, y=701..713
y=601, x=425..442
y=1883, x=493..496
x=492, y=276..289
y=193, x=645..664
y=442, x=634..645
x=610, y=121..141
x=570, y=1478..1489
x=427, y=1133..1146
x=652, y=257..270
y=1126, x=612..634
x=568, y=667..675
x=559, y=403..411
y=224, x=490..511
y=537, x=441..448
x=642, y=343..352
y=518, x=507..529
x=561, y=765..768
x=586, y=862..887
x=614, y=102..107
x=451, y=1083..1096
x=533, y=144..163
x=522, y=488..495
x=557, y=322..345
y=1775, x=525..529
x=585, y=906..910
x=644, y=899..902
y=610, x=523..525
x=476, y=606..608
y=1041, x=470..474
y=603, x=540..551
y=1574, x=569..592
x=594, y=476..490
y=1254, x=627..630
x=610, y=1340..1349
x=510, y=301..315
x=535, y=40..67
x=485, y=1023..1045
x=644, y=948..970
x=459, y=548..557
y=1409, x=595..599
y=1665, x=515..537
x=653, y=156..158
y=247, x=658..662
x=483, y=728..739
y=861, x=514..531
y=1801, x=469..471
y=17, x=509..517
y=818, x=494..534
x=610, y=1257..1268
y=1489, x=608..624
x=649, y=1560..1563
y=950, x=535..561
y=713, x=499..511
y=301, x=570..583
x=463, y=816..842
x=573, y=961..972
y=335, x=439..453
x=496, y=1883..1887
x=556, y=1523..1525
x=515, y=1904..1926
x=656, y=1197..1200
x=456, y=103..113
x=617, y=1583..1590
y=1543, x=582..603
x=570, y=274..301
x=460, y=1696..1711
y=1758, x=536..640
x=437, y=435..446
x=465, y=1479..1496
y=1020, x=585..610
x=641, y=77..101
y=929, x=527..547
x=618, y=1627..1640
y=601, x=496..509
x=651, y=1217..1243
x=494, y=276..289
x=656, y=1021..1029
x=616, y=266..282
x=619, y=1324..1326
y=616, x=439..446
x=514, y=770..779
x=616, y=1324..1326
y=899, x=641..644
y=1103, x=591..601
y=1710, x=659..663
x=542, y=1853..1867
x=488, y=234..246
y=1352, x=601..617
x=523, y=6..25
x=630, y=1231..1233
x=444, y=1339..1350
y=975, x=426..434
x=438, y=1412..1430
x=546, y=1272..1295
y=1530, x=545..568
x=590, y=266..282
y=868, x=656..662
x=603, y=1320..1331
x=457, y=1241..1254
x=498, y=1662..1672
x=573, y=856..868
x=634, y=494..521
x=552, y=979..991
x=532, y=573..576
x=428, y=1412..1430
y=158, x=445..496
x=644, y=1347..1375
y=182, x=616..639
x=491, y=9..21
x=532, y=1309..1318
x=442, y=1896..1912
x=520, y=1765..1778
x=497, y=1296..1298
y=1233, x=620..630
y=1296, x=494..497
y=1447, x=580..641
x=659, y=1709..1710
x=615, y=1507..1533
x=564, y=726..730
x=462, y=685..698
x=640, y=1075..1093
x=632, y=1647..1659
x=576, y=476..490
x=482, y=327..334
x=559, y=569..587
y=345, x=557..580
x=656, y=851..868
x=456, y=1830..1837
x=607, y=1773..1789
y=755, x=442..458
y=101, x=530..550
x=561, y=939..950
y=1744, x=554..575
y=1567, x=635..663
x=556, y=894..898
y=1525, x=554..556
x=655, y=1076..1093
y=1618, x=490..497
x=442, y=571..582
x=649, y=1694..1703
y=1453, x=441..449
y=1575, x=527..530
y=1843, x=445..471
x=512, y=1811..1823
y=650, x=438..450
x=434, y=954..975
x=662, y=223..247
x=472, y=1511..1519
x=568, y=556..559
x=453, y=992..1001
y=398, x=531..542
x=619, y=1550..1552
x=561, y=1421..1437
y=337, x=477..499
y=44, x=494..514
x=457, y=208..230
x=511, y=701..713
x=620, y=1232..1233
y=1146, x=632..646
y=1872, x=435..454
x=451, y=834..840
x=565, y=142..164
y=419, x=543..545
y=1875, x=569..592
y=1552, x=619..631
x=490, y=1595..1618
x=578, y=1777..1803
x=543, y=434..462
y=113, x=515..542
y=1350, x=442..444
y=963, x=609..624
x=587, y=398..419
y=1572, x=527..530
x=501, y=966..983
x=563, y=220..222
x=566, y=1177..1187
x=429, y=289..294
y=972, x=554..573
x=554, y=1323..1336
x=584, y=1360..1373
y=419, x=587..605
x=565, y=1610..1622
x=486, y=1810..1825
y=1571, x=483..500
y=30, x=446..463
x=512, y=656..666
y=1599, x=477..483
x=530, y=1657..1662
y=138, x=454..474
y=1773, x=428..444
y=1619, x=528..536
x=486, y=1154..1156
x=550, y=92..101
y=1581, x=514..537
y=440, x=488..512
x=634, y=809..821
x=599, y=1401..1409
y=1222, x=576..579
x=552, y=413..424
y=265, x=619..640
x=599, y=951..974
x=504, y=496..521
x=532, y=985..1012
x=508, y=1189..1200
y=188, x=525..551
y=727, x=542..552
x=631, y=1873..1875
y=638, x=599..616
x=556, y=1498..1511
y=1292, x=620..625
x=513, y=167..180
y=1912, x=442..453
x=531, y=82..87
x=589, y=651..652
x=637, y=1892..1908
x=560, y=435..462
y=411, x=559..574
y=416, x=487..490
y=1542, x=493..498
x=602, y=1195..1207
x=573, y=708..712
x=575, y=1370..1395
y=1480, x=643..645
x=489, y=664..673
x=428, y=1116..1124
x=651, y=1152..1170
x=625, y=1319..1331
y=45, x=657..665
x=453, y=325..335
y=760, x=569..583
x=628, y=1047..1058
x=530, y=769..779
y=842, x=455..463
x=596, y=1669..1679
x=571, y=1456..1464
x=448, y=1667..1673
x=648, y=29..31
y=868, x=573..581
y=1207, x=586..602
y=1758, x=447..475
x=444, y=1516..1531
y=1303, x=489..505
x=567, y=1404..1411
y=689, x=531..552
y=182, x=439..456
x=570, y=861..864
y=1012, x=532..541
x=608, y=920..938
y=563, x=547..575
x=525, y=450..461
y=1232, x=542..546
x=539, y=1023..1035
x=480, y=1689..1695
y=191, x=633..638
x=548, y=1437..1455
y=1243, x=590..592
x=431, y=1330..1348
y=1053, x=552..567
x=594, y=1693..1695
x=479, y=787..789
x=567, y=1654..1659
y=902, x=524..528
y=98, x=577..580
x=554, y=253..263
x=609, y=1856..1860
y=203, x=488..503
x=527, y=918..929
x=607, y=901..915
x=511, y=1905..1926
y=436, x=498..503
x=446, y=1224..1236
x=580, y=131..142
x=663, y=1708..1710
x=512, y=1138..1145
x=529, y=508..518
y=298, x=605..613
y=1867, x=524..542
